metric,time,cores,i_rep
SPIKE,135.42101192474365,2,9
RISPIKE,65.43764162063599,2,9
SpikeShip,71.64401984214783,2,9
SPIKE,183.65595769882202,4,0
RISPIKE,77.12457180023193,4,0
SpikeShip,45.593544721603394,4,0
SPIKE,181.43269658088684,4,1
RISPIKE,77.34729671478271,4,1
SpikeShip,45.06267523765564,4,1
SPIKE,180.54082417488098,4,2
RISPIKE,76.59089350700378,4,2
SpikeShip,46.61023497581482,4,2
SPIKE,181.23166871070862,4,3
RISPIKE,77.38650345802307,4,3
SpikeShip,46.510454416275024,4,3
SPIKE,181.91875338554382,4,4
RISPIKE,77.1047739982605,4,4
SpikeShip,45.29181528091431,4,4
SPIKE,182.06005954742432,4,5
RISPIKE,77.17091131210327,4,5
SpikeShip,45.33259344100952,4,5
SPIKE,181.37955260276794,4,6
RISPIKE,78.61466717720032,4,6
SpikeShip,45.63641858100891,4,6
SPIKE,181.48503994941711,4,7
RISPIKE,77.16778135299683,4,7
SpikeShip,46.181434869766235,4,7
SPIKE,182.5708305835724,4,8
RISPIKE,76.91769909858704,4,8
SpikeShip,46.448729038238525,4,8
SPIKE,182.41458582878113,4,9
RISPIKE,76.57842302322388,4,9
SpikeShip,44.86362075805664,4,9
SPIKE,249.85219168663025,8,0
RISPIKE,102.20149970054626,8,0
SpikeShip,55.09255337715149,8,0
SPIKE,254.47719073295593,8,1
RISPIKE,109.30992865562439,8,1
SpikeShip,60.382288455963135,8,1
SPIKE,265.5595655441284,8,2
RISPIKE,109.93751311302185,8,2
SpikeShip,60.14284086227417,8,2
SPIKE,265.06612157821655,8,3
RISPIKE,113.40673685073853,8,3
SpikeShip,69.83426022529602,8,3
SPIKE,292.0088677406311,8,4
RISPIKE,124.32683205604553,8,4
SpikeShip,69.59936356544495,8,4
SPIKE,295.3927159309387,8,5
RISPIKE,124.30116820335388,8,5
SpikeShip,64.0170795917511,8,5
SPIKE,274.99918484687805,8,6
RISPIKE,113.94227194786072,8,6
SpikeShip,68.38959074020386,8,6
SPIKE,284.84180974960327,8,7
RISPIKE,120.74551463127136,8,7
SpikeShip,69.1000485420227,8,7
SPIKE,285.2494761943817,8,8
RISPIKE,123.20420575141907,8,8
SpikeShip,70.1864550113678,8,8
SPIKE,287.0647132396698,8,9
RISPIKE,120.84160614013672,8,9
SpikeShip,69.98824000358582,8,9
SPIKE,395.37119150161743,16,0
RISPIKE,162.5830979347229,16,0
SpikeShip,91.21191048622131,16,0
SPIKE,393.310809135437,16,1
RISPIKE,162.51452708244324,16,1
SpikeShip,91.23652362823486,16,1
SPIKE,404.4311213493347,16,2
RISPIKE,157.47141098976135,16,2
SpikeShip,93.04117965698242,16,2
SPIKE,401.66677045822144,16,3
RISPIKE,166.9152593612671,16,3
SpikeShip,93.38240551948547,16,3
SPIKE,399.69696950912476,16,4
RISPIKE,161.36424732208252,16,4
SpikeShip,92.64025545120239,16,4
SPIKE,392.1979994773865,16,5
RISPIKE,161.65901374816895,16,5
SpikeShip,90.23450064659119,16,5
SPIKE,396.09651589393616,16,6
RISPIKE,163.95258688926697,16,6
